"strain","hour","avg_t","sd_t","avg_w","sd_w","unpaired_t","unpaired_df","unpaired_p","paired_t","paired_df","paired_p","unpaired_p_BH","paired_p_BH"
"EPI300_ara",13,1.039,0.00529150262212919,0.510083333333333,0.00230940107675851,158.675,2.73522975929978,1.6719322455013e-06,220.042634090095,2,2.06525116392844e-05,2.22924299400174e-05,0.000826100465571377
"EPI300_ara",14,1.06566666666667,0.0170977581376429,0.52675,0.00529150262212919,52.1532258064517,2.37964145145809,0.00010723111811556,47.0056970567438,2,0.000452276784301948,0.000443714971512663,0.00254496932112693
"EPI300_pCC1",0,0.058,0.016,0.0230833333333333,0.00251661147842358,3.73393424287498,2.09889780323119,0.0601487152646017,4.13093674772271,2,0.0539060641240713,0.0633144371206334,0.0582768260800771
"EPI300_pCC1",1,0.129333333333333,0.0254820198048218,0.06375,0.0121655250605964,4.02285290891375,2.8666800272556,0.030031588870124,5.13513320018588,2,0.0358931673784168,0.0324665825622962,0.0391561825946365
"EPI300_pCC1",2,0.228,0.0285832118559129,0.15075,0.0121655250605964,4.30720417115566,2.701579505449,0.0284041645298405,5.22007124813603,2,0.0347943586165907,0.0312706398493657,0.0383057159081733
"EPI300_pCC1",3,0.357333333333333,0.0291433239925259,0.21075,0.00953939201416945,8.27950370935152,2.42370744010088,0.00781232632521583,7.77497010967338,2,0.0161430685000873,0.00997318254282871,0.0193137933864861
"EPI300_pCC1",4,0.488666666666667,0.0428991064398005,0.281416666666667,0.00850490054811539,8.20796549351286,2.15697539318139,0.0115615632567969,8.45859653595881,2,0.0136903017088576,0.0140140160688447,0.0169364557222981
"EPI300_pCC1",5,0.591666666666667,0.0421584313433663,0.32575,0.00916515138991169,10.6756446167679,2.18862593199458,0.00628463575757472,10.3264823155843,2,0.00924779248242528,0.00828743176823041,0.0120623380205547
"EPI300_pCC1",6,0.675,0.0512640224719052,0.363416666666667,0.0030550504633039,10.5087808299705,2.01420580762904,0.00871943290885297,10.9947764078924,2,0.00817106569805564,0.0110140205164459,0.0111423623155304
"EPI300_pCC1",7,0.784333333333333,0.0590959671494877,0.405416666666667,0.0100166528008778,10.9495399694586,2.11482361842496,0.00674943245869893,12.3450440872337,2,0.00649778981235581,0.00880360755482469,0.00917335032332584
"EPI300_pCC1",8,0.849666666666667,0.0442417600614321,0.441416666666667,0.00901849950564577,15.6607915771236,2.16592603572909,0.00287035695842682,17.3136565270924,2,0.00331937127090272,0.00436003588621796,0.00594514257475114
"EPI300_pCC1",9,0.924,0.0548361194834208,0.46175,0.00529150262212919,14.5330979122094,2.03724319579937,0.00435976433293436,14.6445013928036,2,0.0046304815366822,0.00594513318127413,0.00703364284052992
"EPI300_pCC1",10,0.971,0.0546717477313465,0.483083333333333,0.00493288286231625,15.3951063312052,2.03256168717623,0.00391787208139947,16.5662731702201,2,0.00362396967177104,0.00546958971213243,0.00609915410973121
"EPI300_pCC1",11,1.01633333333333,0.047289886163252,0.501083333333333,0.00378593889720019,18.8114831703123,2.02563615064517,0.00265409210457449,18.661456874307,2,0.00285919120745263,0.0041362474357005,0.00579523479392518
"EPI300_pCC1",12,1.056,0.0605557594288108,0.518083333333333,0.00585946527708232,15.3142780756164,2.03744785806073,0.00391987262702824,16.6339463353216,2,0.00359470078766443,0.00546958971213243,0.00609915410973121
"EPI300_pCC1",13,1.09833333333333,0.0567567910767807,0.538083333333333,0.00251661147842359,17.080404598957,2.00786420801236,0.00335198566030735,17.8570933553568,2,0.00312134216206762,0.00478855094329622,0.00579523479392518
"EPI300_pCC1",14,1.12433333333333,0.0520512567891817,0.555083333333333,0.0045092497528229,18.8716058977138,2.03001799431057,0.00261085070780598,18.2493171675324,2,0.00298920750819388,0.00412239585443049,0.00579523479392518
"EPI300_pCC1_ATF1",0,0.0403333333333333,0.00901849950564579,0.0244166666666667,0.00404145188432738,2.78958478567161,2.77213943200349,0.0748909951256192,3.67307692307692,2,0.0667814327968531,0.0768112770519171,0.070556971118298
"EPI300_pCC1_ATF1",1,0.105,0.0235159520326097,0.0550833333333333,0.00288675134594813,3.64918421397899,2.06026359054759,0.0646087550154081,3.66554590511488,2,0.0670291225623831,0.0674178313204258,0.070556971118298
"EPI300_pCC1_ATF1",2,0.19,0.017,0.134083333333333,0.00378593889720019,5.56085835140544,2.19789844705907,0.0248903074769962,5.41129032258064,2,0.0324951691964325,0.0279143635256032,0.036443180407214
"EPI300_pCC1_ATF1",3,0.321,0.0291032644217105,0.194416666666667,0.0066583281184794,7.34373642362564,2.20879436918187,0.0136414134146894,8.07430631499415,2,0.0149946067024651,0.0162330287982104,0.0181752808514728
"EPI300_pCC1_ATF1",4,0.428,0.022113344387496,0.254416666666667,0.00757187779440036,12.8629269084302,2.46262478382416,0.0025533220321842,13.6614397608235,2,0.0053153715177908,0.00408531525149472,0.00775364630461034
"EPI300_pCC1_ATF1",5,0.561,0.016093476939431,0.303083333333333,0.00750555349946514,25.1567824339937,2.83071375476443,0.000204601214615046,27.4766681373377,2,0.00132193479855069,0.000682004048716821,0.00357174167750219
"EPI300_pCC1_ATF1",6,0.651666666666667,0.0232450711621482,0.339416666666667,0.0100166528008778,21.3671702347257,2.71799493937626,0.000415716569164131,22.515166754186,2,0.00196683042071567,0.00113377246135672,0.00462783628403686
"EPI300_pCC1_ATF1",7,0.740333333333333,0.0274651294068194,0.366083333333333,0.00808290376865477,22.6414272145443,2.34386331458829,0.000846997027989848,22.1169814892969,2,0.00203806967343439,0.00184799351561421,0.00470323770792552
"EPI300_pCC1_ATF1",8,0.822,0.00953939201416946,0.39175,0.00964365076099296,54.9379683538427,3.99952746603662,6.58115730110339e-07,48.0035090133352,2,0.000433682042623043,1.28716425491659e-05,0.00254496932112693
"EPI300_pCC1_ATF1",9,0.896666666666667,0.0170098010962308,0.411416666666667,0.0145716619962629,37.5248140493089,3.90793422665596,3.80912084139678e-06,33.3009371288222,2,0.000900534044081885,3.80912084139678e-05,0.00282266842237946
"EPI300_pCC1_ATF1",10,0.947,0.0141774468787578,0.432416666666667,0.00832666399786451,54.2083943260921,3.23305306569863,6.77464496253913e-06,40.5828651572024,2,0.000606623555416467,5.41971597003131e-05,0.00259721977197162
"EPI300_pCC1_ATF1",11,0.995666666666667,0.0188767935130237,0.45375,0.010816653826392,43.1429254437511,3.18556165192952,1.61873593847789e-05,32.9935784682418,2,0.000917367237273325,0.000107915729231859,0.00282266842237946
"EPI300_pCC1_ATF1",12,1.037,0.0121655250605964,0.473416666666667,0.0141539158303748,52.3023558116169,3.91170565447033,1.03158812994687e-06,37.0989098289411,2,0.000725779506412708,1.5473821949203e-05,0.00259721977197162
"EPI300_pCC1_ATF1",13,1.08233333333333,0.00737111479583198,0.492416666666667,0.010785793124909,78.2126391253058,3.53365235559749,7.50845815368011e-07,57.0887096774194,2,0.000306690073225194,1.28716425491659e-05,0.00239734041282446
"EPI300_pCC1_ATF1",14,1.117,0.00871779788708136,0.514416666666667,0.010785793124909,75.2576172034457,3.83150444514774,3.23095775209749e-07,53.517466760547,2,0.000348964724111423,1.04588870640702e-05,0.00239734041282446
"EPI300_pCC1_ATF1_ara",0,0.0516666666666667,0.00923760430703401,0.02375,0.00264575131106459,5.03204980805617,2.32593176409961,0.0271065222395712,5.53435577881138,2,0.0311320990487416,0.030118358043968,0.0353743771473543
"EPI300_pCC1_ATF1_ara",1,0.135333333333333,0.0030550504633039,0.0544166666666667,0.00152752523165195,41.0322390670694,2.94117647058824,3.75859908577057e-05,67.3267363168371,2,0.000220536861494771,0.000214777090615461,0.00220536861494771
"EPI300_pCC1_ATF1_ara",2,0.223666666666667,0.0191398362932741,0.13075,0.001,8.39699856173234,2.01091893592535,0.0136627992384938,8.72372576844641,2,0.0128865732365831,0.0162330287982104,0.0161082165457289
"EPI300_pCC1_ATF1_ara",3,0.333666666666667,0.0202566861389847,0.183416666666667,0.00251661147842359,12.7491352647935,2.06172371978503,0.00542410354328833,12.963509341289,2,0.00589792709075669,0.00723213805771777,0.00842561012965241
"EPI300_pCC1_ATF1_ara",4,0.454,0.0433128156554154,0.234083333333333,0.00611010092660778,8.70810090326608,2.07957047776926,0.0114590327589431,7.74730227676497,2,0.0162557761002925,0.0140140160688447,0.0193137933864861
"EPI300_pCC1_ATF1_ara",5,0.563666666666667,0.0254230866208911,0.277083333333333,0.00680685928555405,18.8603354521765,2.28527970845521,0.00147554371413766,15.4191993549858,2,0.00417971675890768,0.00268280675297756,0.00668754681425229
"EPI300_pCC1_ATF1_ara",6,0.66,0.0499599839871872,0.305083333333333,0.0113724814061546,11.9976115073654,2.20670995701796,0.00472861655350704,10.0234241893485,2,0.00980713594262988,0.00637566276877354,0.0125197480118679
"EPI300_pCC1_ATF1_ara",7,0.711333333333333,0.0395516539898565,0.330083333333333,0.00873689494805411,16.3027287391946,2.1947206759709,0.00247892513746289,13.9647954941418,2,0.00508868981361882,0.00401987860129118,0.00753879972387973
"EPI300_pCC1_ATF1_ara",8,0.783333333333333,0.0433166634603051,0.348416666666667,0.0116761865920913,16.791161980415,2.28911143536533,0.00190623701002416,14.9576550525403,2,0.0044398993249048,0.00336394766474851,0.00683061434600738
"EPI300_pCC1_ATF1_ara",9,0.856333333333333,0.0387857362097631,0.37175,0.00999999999999998,20.9547168538518,2.26472871197378,0.00121765949313339,17.8364163547994,2,0.0031285492900999,0.00235676030929043,0.00579523479392518
"EPI300_pCC1_ATF1_ara",10,0.918333333333333,0.0521568148311736,0.38675,0.0124899959967968,17.1677103092614,2.22863178603655,0.00206011822318174,16.0611329656149,2,0.00385417309461943,0.00353163123974012,0.00629715799291845
"EPI300_pCC1_ATF1_ara",11,0.977666666666667,0.0553383531859535,0.406083333333333,0.0117189305541646,17.5020054883484,2.17902386609889,0.00219637566162541,15.1640943858786,2,0.00432061231481957,0.00371218421683167,0.0067334217893292
"EPI300_pCC1_ATF1_ara",12,1.01,0.0500899191454728,0.42375,0.0168226038412607,19.2170082287812,2.44550780606635,0.000993844167523754,18.437722655364,2,0.00292869606086328,0.00209230351057632,0.00579523479392518
"EPI300_pCC1_ATF1_ara",13,1.04,0.0675055553269507,0.43575,0.0124899959967968,15.2450399421896,2.13677190901555,0.0032269638700104,14.0069465858859,2,0.00505834075581594,0.00467944675581994,0.00753879972387973
"EPI300_pCC1_ATF1_ara",14,1.08133333333333,0.0701593424522589,0.477416666666667,0.0484389650316079,12.2690310657262,3.55366705228741,0.000490727724313976,18.238272471432,2,0.00299281275940071,0.00125292184931228,0.00579523479392518
"EPI300_pCC1_ATF1_ara_iAAl",0,0.0526666666666667,0.00850490054811538,0.0240833333333333,0.00208166599946613,5.65418755936887,2.23877438740531,0.0230140374695003,5.52364307138712,2,0.031247366480163,0.0263017571080004,0.0353743771473543
"EPI300_pCC1_ATF1_ara_iAAl",1,0.111333333333333,0.0151767365837763,0.05975,0.00264575131106459,5.79950144360548,2.12145078067132,0.0248077955272109,5.25255725517524,2,0.0343871735075704,0.0279143635256032,0.0382079705639671
"EPI300_pCC1_ATF1_ara_iAAl",2,0.229333333333333,0.0483356321292412,0.136083333333333,0.00152752523165195,3.33983725637759,2.00399485976201,0.078936681209508,3.28867393394071,2,0.0813393047034545,0.0802745910605167,0.0841441083139185
"EPI300_pCC1_ATF1_ara_iAAl",3,0.337333333333333,0.0340783411176855,0.18675,0.002,7.64033584578482,2.01377710406643,0.0163824842332521,7.45092874019096,2,0.0175401930577565,0.0190863893979636,0.0206355212444194
"EPI300_pCC1_ATF1_ara_iAAl",4,0.431666666666667,0.041198705481281,0.23675,0.00173205080756888,8.18733515078025,2.00706989150375,0.0144413522402951,8.15383592832855,2,0.0147099198759363,0.0169898261650531,0.0180121467868608
"EPI300_pCC1_ATF1_ara_iAAl",5,0.531666666666667,0.0267644042215278,0.28075,0.00458257569495584,16.0050930312359,2.11716315064137,0.00303188407368822,17.3793827210096,2,0.00329443572433431,0.00454782611053234,0.00594514257475114
"EPI300_pCC1_ATF1_ara_iAAl",6,0.608333333333333,0.0335608899365517,0.311416666666667,0.00665832811847937,15.0306782191553,2.15719948615387,0.00319104279261243,18.4100566199593,2,0.00293746619761097,0.00467944675581994,0.00579523479392518
"EPI300_pCC1_ATF1_ara_iAAl",7,0.664666666666667,0.0205507501890645,0.335416666666667,0.00929157324317758,25.2853966953643,2.78488133606798,0.000224776872465432,38.7129747299583,2,0.000666580346404119,0.000709821702522417,0.00259721977197162
"EPI300_pCC1_ATF1_ara_iAAl",8,0.735666666666667,0.0258907963055085,0.356416666666667,0.00709459888459759,24.4691565420202,2.29866419862491,0.000789304996045139,26.9976127416851,2,0.00136916764304251,0.00178710565142296,0.00357174167750219
"EPI300_pCC1_ATF1_ara_iAAl",9,0.794,0.00700000000000001,0.37675,0.00799999999999998,67.98572777735,3.93073726335232,3.4862956880234e-07,144.539639891623,2,4.78624452742701e-05,1.04588870640702e-05,0.00135375549704617
"EPI300_pCC1_ATF1_ara_iAAl",10,0.862666666666667,0.0146401275039985,0.391416666666667,0.00585946527708232,51.7610650835074,2.62471643029963,5.04291955121497e-05,90.6921047852036,2,0.000121557523748297,0.00027506833915718,0.00183053667551895
"EPI300_pCC1_ATF1_ara_iAAl",11,0.905333333333333,0.0145716619962629,0.40975,0.0104403065089106,47.8849932150717,3.62512044127342,3.26992126238734e-06,113.363624720999,2,7.78039893080857e-05,3.56718683169528e-05,0.00155607978616171
"EPI300_pCC1_ATF1_ara_iAAl",12,0.930666666666667,0.0162583311976762,0.426416666666667,0.00838649708360609,47.7419666643102,2.99394389414438,2.05999143204907e-05,45.5904104447763,2,0.000480772604428927,0.000130104722024152,0.00254496932112693
"EPI300_pCC1_ATF1_ara_iAAl",13,0.971666666666667,0.0180092568789868,0.44275,0.005,49.0148711903371,2.30650367405398,0.000156349606517498,40.3948076020352,2,0.000612279762385182,0.000568544023699992,0.00259721977197162
"EPI300_pCC1_ATF1_ara_iAAl",14,1.00266666666667,0.0153079500042734,0.462416666666667,0.00208166599946613,60.5702713288851,2.07394341981237,0.000211282693564228,54.025,2,0.000342442235222003,0.000685241168316416,0.00239734041282446
"EPI300_pCC1_ATF1_iAAl",0,0.0383333333333333,0.00450924975282289,0.02575,0.003,4.02416352121215,3.48044943820225,0.0207722704615354,2.90384615384615,2,0.100951539130188,0.0239680043786947,0.102662582166293
"EPI300_pCC1_ATF1_iAAl",1,0.0966666666666667,0.00378593889720019,0.0584166666666667,0.00416333199893227,11.7731015901771,3.96441906435317,0.000313164902188081,15.1990087973214,2,0.00430091265037247,0.000894756863394516,0.0067334217893292
"EPI300_pCC1_ATF1_iAAl",2,0.199,0.00458257569495583,0.134083333333333,0.00404145188432738,18.4021452796368,3.93846153846154,5.74724582673795e-05,16.8869666564822,2,0.00348834650746038,0.000287362291336897,0.00609915410973121
"EPI300_pCC1_ATF1_iAAl",3,0.323666666666667,0.015373136743467,0.196083333333333,0.00750555349946513,12.9171868389148,2.90219523305763,0.00117979201089887,10.0307755313829,2,0.00979297671990135,0.00232090231652238,0.0125197480118679
"EPI300_pCC1_ATF1_iAAl",4,0.427333333333333,0.0195021366350801,0.263416666666667,0.00611010092660779,13.8921298205034,2.38889095992544,0.00242872825308393,11.8262450021214,2,0.00707422222945239,0.00399243000506947,0.00987100776202659
"EPI300_pCC1_ATF1_iAAl",5,0.549333333333333,0.0219393102292058,0.315083333333333,0.00472581562625258,18.0787592788208,2.18519686546629,0.00201981009465663,16.0005437067418,2,0.00388324742896638,0.00351271320809848,0.00629715799291845
"EPI300_pCC1_ATF1_iAAl",6,0.618666666666667,0.0213853532431273,0.348416666666667,0.00503322295684717,21.3060369771403,2.22089653419202,0.00129929495110622,18.0033357979034,2,0.00307107074148474,0.00247484752591662,0.00579523479392518
"EPI300_pCC1_ATF1_iAAl",7,0.692333333333333,0.0211266025033211,0.374416666666667,0.00763762615825971,24.511597321196,2.5139985500777,0.000465756209325543,33.1251066866754,2,0.000910106533894768,0.00121501619824055,0.00282266842237946
"EPI300_pCC1_ATF1_iAAl",8,0.755666666666667,0.0300388637157489,0.397416666666667,0.0165025250593154,18.1046237572192,3.1064542862353,0.000297588769887647,36.3124373717423,2,0.000757522433491723,0.000883595170508316,0.00259721977197162
"EPI300_pCC1_ATF1_iAAl",9,0.816333333333333,0.0288848287745199,0.420083333333333,0.0140118997046558,21.3781828501123,2.89188300541597,0.00028316518409247,39.5591229802111,2,0.000638396735010281,0.000871277489515292,0.00259721977197162
"EPI300_pCC1_ATF1_iAAl",10,0.865,0.0303479818109871,0.44075,0.0242487113059643,18.9163725407226,3.81425394791392,6.52286279631943e-05,36.7871404570608,2,0.000738119858422437,0.000313097414223332,0.00259721977197162
"EPI300_pCC1_ATF1_iAAl",11,0.913666666666667,0.0328075194632775,0.467416666666667,0.0257164020293146,18.5419592112256,3.78415961848948,7.44377776537801e-05,33.1695012762798,2,0.000907675275712861,0.000343558973786677,0.00282266842237946
"EPI300_pCC1_ATF1_iAAl",12,0.959,0.0415812457725836,0.48775,0.0240208242989286,16.9973939064115,3.2011100509576,0.000301895016590341,27.1623984343121,2,0.00135263900827343,0.000883595170508316,0.00357174167750219
