"strain","hour","avg_t","sd_t","avg_w","sd_w","t_stat","df","p_raw","p_adj_strain","p_adj_overall","significant_raw","significant_adj"
"EPI300_pCC1_ATF1_ara",4,0.454,0.043,0.234083333,0.006110101,8.77020111336823,2.08073146645191,0.0112744495442643,0.0130089802433818,0.0138054484215481,TRUE,TRUE
"EPI300_pCC1_ATF1_ara",5,0.564,0.025,0.277083333,0.006806859,19.1799424635615,2.29491254279089,0.00139018347745352,0.00404171609527074,0.00269067769829714,TRUE,TRUE
"EPI300_pCC1_ATF1_ara",6,0.66,0.05,0.305083333,0.011372481,11.9884820939694,2.20638097343566,0.00473924906387245,0.00646261235982607,0.00638999873780555,TRUE,TRUE
"EPI300_pCC1_ATF1_ara",7,0.711,0.04,0.330083333,0.008736895,16.1142616995312,2.19039996906544,0.00256548027330111,0.00427580045550185,0.00414175417687173,TRUE,TRUE
"EPI300_pCC1_ATF1_ara",8,0.783,0.043,0.348416667,0.011676187,16.8933965054326,2.29333943919324,0.00186352851451669,0.00404171609527074,0.00328857973150005,TRUE,TRUE
"EPI300_pCC1_ATF1_ara",9,0.856,0.039,0.37175,0.01,20.832373307101,2.26185300164712,0.00124206711958172,0.00404171609527074,0.00248413423916345,TRUE,TRUE
"EPI300_pCC1_ATF1_ara",10,0.918,0.052,0.38675,0.012489996,17.2058666962156,2.2300036860737,0.00204403117758999,0.00404171609527074,0.00350405344729712,TRUE,TRUE
"EPI300_pCC1_ATF1_ara",11,0.978,0.055,0.406083333,0.011718931,17.6152802433116,2.18122428671917,0.00215558191747773,0.00404171609527074,0.00364323704362433,TRUE,TRUE
"EPI300_pCC1_ATF1_ara",12,1.01,0.05,0.42375,0.016822604,19.2480562646758,2.44707113155229,0.000986578632419589,0.00404171609527074,0.00207700764719913,TRUE,TRUE
"EPI300_pCC1_ATF1_ara",13,1.04,0.068,0.43575,0.012489996,15.1378200447575,2.13479467543414,0.00328882404149278,0.00493323606223918,0.00478869194517974,TRUE,TRUE
"EPI300_pCC1_ATF1_ara",14,1.081,0.07,0.477416667,0.048438965,12.2811408562344,3.55811271729699,0.000485758657367811,0.00364318993025858,0.00124023486987526,TRUE,TRUE
"EPI300_pCC1_ATF1_ara_iAAl",0,0.053,0.009,0.024083333,0.002081666,5.42187506242939,2.21338106667642,0.0258217971062041,0.0276662111852187,0.0289590247920046,TRUE,TRUE
"EPI300_pCC1_ATF1_ara_iAAl",1,0.111,0.015,0.05975,0.002645751,5.82787873068671,2.12432408180656,0.0244847403522596,0.0276662111852187,0.0281752026686855,TRUE,TRUE
"EPI300_pCC1_ATF1_ara_iAAl",2,0.229,0.048,0.136083333,0.001527525,3.3511449439732,2.00405092054254,0.078462162408028,0.078462162408028,0.0797920295674861,FALSE,FALSE
"EPI300_pCC1_ATF1_ara_iAAl",3,0.337,0.034,0.18675,0.002,7.64092810642701,2.01384066473504,0.0163785306701289,0.0204731633376612,0.0190817833050046,TRUE,TRUE
"EPI300_pCC1_ATF1_ara_iAAl",4,0.432,0.041,0.23675,0.001732051,8.24101351256077,2.00713858682136,0.0142557937258081,0.0194397187170111,0.0167715220303625,TRUE,TRUE
"EPI300_pCC1_ATF1_ara_iAAl",5,0.532,0.027,0.28075,0.004582576,15.8904452127287,2.11513081499085,0.00309114720820178,0.00496826789312398,0.00463672081230268,TRUE,TRUE
"EPI300_pCC1_ATF1_ara_iAAl",6,0.608,0.034,0.311416667,0.006658328,14.8271074822508,2.15317724337087,0.00331217859541599,0.00496826789312398,0.00478869194517974,TRUE,TRUE
"EPI300_pCC1_ATF1_ara_iAAl",7,0.665,0.021,0.335416667,0.009291573,24.8589773330624,2.75416550671144,0.000253336109520106,0.000542863091828799,0.000800008766905599,TRUE,TRUE
"EPI300_pCC1_ATF1_ara_iAAl",8,0.736,0.026,0.356416667,0.007094599,24.3949411063619,2.2961883359694,0.000799665841096695,0.0014993734520563,0.0017447254714837,TRUE,TRUE
"EPI300_pCC1_ATF1_ara_iAAl",9,0.794,0.007,0.37675,0.008,67.9857277773499,3.93073726335232,3.48629568802342e-07,5.22944353203512e-06,1.04588870640702e-05,TRUE,TRUE
"EPI300_pCC1_ATF1_ara_iAAl",10,0.863,0.015,0.391416667,0.005859465,50.7212451587277,2.59648154123335,5.80582041594845e-05,0.000217718265598067,0.000302912369527745,TRUE,TRUE
"EPI300_pCC1_ATF1_ara_iAAl",11,0.905,0.015,0.40975,0.010440307,46.9366264331638,3.56944942438223,4.11550645321892e-06,3.08662983991419e-05,3.76595767033407e-05,TRUE,TRUE
"EPI300_pCC1_ATF1_ara_iAAl",12,0.931,0.016,0.426416667,0.008386497,48.3796598853524,3.0218287980362,1.82250971212238e-05,9.11254856061189e-05,0.000115105876555098,TRUE,TRUE
"EPI300_pCC1_ATF1_ara_iAAl",13,0.972,0.018,0.44275,0.005,49.0691777480636,2.30681527637049,0.000155798112194869,0.000467394336584608,0.000567720932424107,TRUE,TRUE
"EPI300_pCC1_ATF1_ara_iAAl",14,1.003,0.015,0.462416667,0.002081666,61.8286390708011,2.07700847316549,0.000200337317178524,0.00050084329294631,0.000654978646498039,TRUE,TRUE
"EPI300_pCC1_ATF1_iAAl",0,0.038,0.005,0.02575,0.003,3.63879222043928,3.27478753541076,0.030910384015241,0.030910384015241,0.0337204189257174,TRUE,TRUE
"EPI300_pCC1_ATF1_iAAl",1,0.097,0.004,0.058416667,0.004163332,11.5749998984564,3.9936102235605,0.000321087513723541,0.00060203908823164,0.000917392896352976,TRUE,TRUE
"EPI300_pCC1_ATF1_iAAl",2,0.199,0.005,0.134083333,0.004041452,17.4890661768563,3.8315475128352,8.50208485667572e-05,0.000425104242833786,0.000392403916461956,TRUE,TRUE
"EPI300_pCC1_ATF1_iAAl",3,0.324,0.015,0.196083333,0.007505553,13.2092199593219,2.94240631995697,0.00103342035136988,0.00140920957004984,0.00213811107179976,TRUE,TRUE
"EPI300_pCC1_ATF1_iAAl",4,0.427,0.02,0.263416667,0.006110101,13.5485678138074,2.37010927909367,0.00266820016072719,0.00285878588649342,0.0041582340167177,TRUE,TRUE
"EPI300_pCC1_ATF1_iAAl",5,0.549,0.022,0.315083333,0.004725816,18.0054314910331,2.18418087398487,0.00204226738298905,0.00235646236498736,0.00350405344729712,TRUE,TRUE
"EPI300_pCC1_ATF1_iAAl",6,0.619,0.021,0.348416667,0.005033223,21.7026836184398,2.22902503372583,0.00122363539431675,0.00152954424289593,0.00248413423916345,TRUE,TRUE
"EPI300_pCC1_ATF1_iAAl",7,0.692,0.021,0.374416667,0.007637626,24.616315605402,2.52000218025866,0.000454195947295158,0.00075699324549193,0.00120976709927869,TRUE,TRUE
"EPI300_pCC1_ATF1_iAAl",8,0.756,0.03,0.397416667,0.016502525,18.1394940951546,3.10884224247265,0.000294436402259004,0.00060203908823164,0.000883309206777012,TRUE,TRUE
"EPI300_pCC1_ATF1_iAAl",9,0.816,0.029,0.420083333,0.0140119,21.2914502255123,2.88554674145541,0.000290477995595681,0.00060203908823164,0.000883309206777012,TRUE,TRUE
"EPI300_pCC1_ATF1_iAAl",10,0.865,0.03,0.44075,0.024248711,19.049387441196,3.83154745215383,6.14697979202326e-05,0.000425104242833786,0.000307348989601163,TRUE,TRUE
"EPI300_pCC1_ATF1_iAAl",11,0.914,0.033,0.467416667,0.025716402,18.4885459266833,3.77465567700722,7.66020842245827e-05,0.000425104242833786,0.000367690004277997,TRUE,TRUE
"EPI300_pCC1_ATF1_iAAl",12,0.959,0.042,0.48775,0.024020824,16.869852487007,3.18193182661576,0.000320596865918561,0.00060203908823164,0.000917392896352976,TRUE,TRUE
"EPI300_pCC1_ATF1_iAAl",13,0.998,0.053,0.509083333,0.026857649,14.252387269931,2.96362990737503,0.000798045708480866,0.0011970685627213,0.0017447254714837,TRUE,TRUE
"EPI300_pCC1_ATF1_iAAl",14,1.036,0.04,0.53275,0.027221315,18.0153915237805,3.52533818191559,0.000134620655316599,0.000504827457437247,0.000521112214128772,TRUE,TRUE
